"Year","Country","Population","AverageTemperature","MinTemperature","MaxTemperature","Country Name","GDP","Emissions","TotalDeaths","TotalAffected","TotalDamage"
1963,"ESP",31296651,13.39525,13.1471666666667,13.6433333333333,"Spain",19074913948,1.879509312,0,0,0
1963,"FRA",48803680,12.0728333333333,11.8005833333333,12.3450833333333,"France",85551113767,6.844149785,0,0,0
1963,"GBR",53650000,7.79075,7.53733333333333,8.04416666666667,"United Kingdom",85443766670,11.25485346,0,0,0
1963,"IND",477527970,24.09575,23.8218333333333,24.3696666666667,"India",47776000900,0.32266942,512,5e+06,0
1963,"ITA",51252000,12.6045833333333,12.385,12.8241666666667,"Italy",57710743060,3.215100133,1917,0,0
1963,"JPN",96812000,12.29325,12.0818333333333,12.5046666666667,"Japan",69498131797,3.359320776,295,120,0
1963,"KOR",27261747,11.489,11.1986666666667,11.7793333333333,"Korea, Rep.",3988246109,0.774109781,116,0,0
1963,"MEX",41939880,20.8794166666667,20.6425833333333,21.11625,"Mexico",1.696e+10,1.58230541,0,0,0
1963,"NGA",48032246,27.0770833333333,26.7701666666667,27.384,"Nigeria",5165489010,0.111386692,0,0,0
1963,"PAK",48309315,21.2510833333333,20.987,21.5151666666667,"Pakistan",4540529105,0.383252857,0,0,0
1963,"USA",189242000,9.08,8.89408333333333,9.26591666666667,"United States",6.39e+11,16.48276215,442,0,0
1964,"AUS",11167000,21.65075,21.4411666666667,21.8603333333333,"Australia",23758539590,9.759073431,0,0,0
1964,"BRA",81168654,24.7340833333333,24.47775,24.9904166666667,"Brazil",21211892260,0.698986877,100,120000,500
1964,"CAN",19325000,-5.457,-5.72408333333333,-5.18991666666667,"Canada",48882938810,12.3053704,0,0,0
1964,"CHN",698355000,6.74608333333333,6.53716666666667,6.955,"China",59708343489,0.625646054,686,0,0
1964,"ESP",31609195,14.06475,13.8213333333333,14.3081666666667,"Spain",21343844644,2.037725257,0,0,0
1964,"FRA",49449403,12.9904166666667,12.721,13.2598333333333,"France",94906593388,6.982957004,0,0,0
1964,"IND",487484535,24.0705,23.807,24.334,"India",55726873084,0.309030714,732,1436610,500
1964,"ITA",51675350,12.9913333333333,12.7584166666667,13.22425,"Italy",63175417019,3.405053435,0,0,0
1964,"JPN",97826000,12.34975,12.1534166666667,12.5460833333333,"Japan",81749006382,3.673035072,758,35376,8e+05
1964,"KOR",27984155,12.5881666666667,12.3131666666667,12.8631666666667,"Korea, Rep.",3458518494,0.793961905,210,86830,1000
1964,"MEX",43264272,20.5863333333333,20.3659166666667,20.80675,"Mexico",2.008e+10,1.716861248,45,4000,3000
1964,"NGA",49066059,26.6306666666667,26.37575,26.8855833333333,"Nigeria",5552822484,0.148276184,0,0,0
1964,"PAK",49551904,20.1418333333333,19.8761666666667,20.4075,"Pakistan",5130407728,0.384150668,450,474427,4600
1964,"USA",191889000,8.49166666666667,8.31925,8.66408333333333,"United States",6.86e+11,16.96811858,450,0,2090000
1965,"AUS",11388000,22.0920833333333,21.8440833333333,22.3400833333333,"Australia",25931235301,10.62232139,0,0,0
1965,"BRA",83498020,24.9838333333333,24.6868333333333,25.2808333333333,"Brazil",21790035117,0.675446675,22,270000,17000
1965,"CAN",19678000,-5.51666666666667,-5.785,-5.24833333333333,"Canada",53909570342,12.81400147,26,22,0
1965,"CHN",715185000,6.79991666666667,6.56,7.03983333333333,"China",70436266147,0.665524211,0,0,27118
1965,"ESP",31954292,13.6549166666667,13.3884166666667,13.9214166666667,"Spain",24756958695,2.225610193,30,0,0
1965,"FRA",50023774,12.5018333333333,12.2029166666667,12.80075,"France",1.02e+11,7.033701955,0,0,0
1965,"GBR",54348050,8.1545,7.87391666666667,8.43508333333333,"United Kingdom",1.01e+11,11.45615951,0,0,0
1965,"IND",497702365,24.0909166666667,23.7985833333333,24.38325,"India",58760424670,0.333476589,1500560,1e+08,1e+05
1965,"ITA",52112350,12.4555833333333,12.1720833333333,12.7390833333333,"Italy",67978153851,3.641502446,92,0,0
1965,"JPN",98883000,11.6879166666667,11.4448333333333,11.931,"Japan",90950278258,3.912905535,289,3030770,90000
1965,"KOR",28704674,11.7528333333333,11.46025,12.0454166666667,"Korea, Rep.",3120307808,0.871121999,323,344459,36500
