"Year","Country","CountryName","Population","AverageTemperature","MinTemperature","MaxTemperature","GDP","Emissions","TotalDeaths","TotalAffected","TotalDamage"
1962,"PAK","Pakistan",47119361,20.4391666666667,20.1491666666667,20.7291666666667,4233095590,13.5699,NA,NA,NA
1962,"RUS","Russian Federation",122591000,-4.41625,-4.66025,-4.17225,NA,963.3179,NA,NA,NA
1963,"AUS","Australia",10950000,21.6978333333333,21.4960833333333,21.8995833333333,21501847911,100.9343,NA,NA,NA
1963,"BGD","Bangladesh",52532417,25.1055833333333,24.8360833333333,25.3750833333333,5319458351,2.8932,22109,0,0
1963,"BRA","Brazil",78854019,25.1715833333333,24.88225,25.4609166666667,23021477292,55.5509,146,0,0
1963,"CAN","Canada",18964000,-4.61208333333333,-4.85958333333333,-4.36458333333333,44657169109,210.9108,219,0,0
1963,"CHN","China",682335000,7.0525,6.84166666666667,7.26333333333333,50706799903,435.5176,NA,NA,NA
1963,"DEU","Germany",74714353,7.2205,6.98741666666667,7.45358333333333,NA,945.498,NA,NA,NA
1963,"ESP","Spain",31296651,13.39525,13.1471666666667,13.6433333333333,19074913948,58.7429,NA,NA,NA
1963,"FRA","France",48803680,12.0728333333333,11.8005833333333,12.3450833333333,85551113767,334.2264,NA,NA,NA
1963,"GBR","United Kingdom",53650000,7.79075,7.53733333333333,8.04416666666667,85443766670,603.3857,NA,NA,NA
1963,"IDN","Indonesia",95055665,25.8385833333333,25.6056666666667,26.0715,NA,22.7631,1690,78000,0
1963,"IND","India",477527970,24.09575,23.8218333333333,24.3696666666667,47776000900,154.0682,512,0,0
1963,"ITA","Italy",51252000,12.6045833333333,12.385,12.8241666666667,57710743060,164.5562,1917,0,0
1963,"JPN","Japan",96812000,12.29325,12.0818333333333,12.5046666666667,69498131797,324.8355,295,0,0
1963,"MEX","Mexico",41939880,20.8794166666667,20.6425833333333,21.11625,1.696e+10,66.2922,NA,NA,NA
1963,"NGA","Nigeria",48032246,27.0770833333333,26.7701666666667,27.384,5165489010,5.3436,NA,NA,NA
1963,"PAK","Pakistan",48309315,21.2510833333333,20.987,21.5151666666667,4540529105,15.6002,NA,NA,NA
1963,"RUS","Russian Federation",123960000,-5.00816666666667,-5.21441666666667,-4.80191666666667,NA,1033.1063,NA,NA,NA
1964,"AUS","Australia",11167000,21.65075,21.4411666666667,21.8603333333333,23758539590,108.8758,NA,NA,NA
1964,"BGD","Bangladesh",54129100,25.3045833333333,25.034,25.5751666666667,5386054619,2.9746,0,1000800,5250
1964,"BRA","Brazil",81168654,24.7340833333333,24.47775,24.9904166666667,21211892260,56.6667,100,120000,500
1964,"CAN","Canada",19325000,-5.457,-5.72408333333333,-5.18991666666667,48882938810,237.5777,NA,NA,NA
1964,"CHN","China",698355000,6.74608333333333,6.53716666666667,6.955,59708343489,435.7037,686,0,0
1964,"DEU","Germany",75318337,8.23633333333333,8.04166666666667,8.431,NA,968.9175,NA,NA,NA
1964,"ESP","Spain",31609195,14.06475,13.8213333333333,14.3081666666667,21343844644,64.3238,NA,NA,NA
1964,"FRA","France",49449403,12.9904166666667,12.721,13.2598333333333,94906593388,345.5381,NA,NA,NA
1964,"GBR","United Kingdom",NA,8.67916666666667,8.42491666666667,8.93341666666667,93387598814,607.866,NA,NA,NA
1964,"IDN","Indonesia",97638029,25.8355,25.6239166666667,26.0470833333333,NA,22.3743,NA,NA,NA
1964,"IND","India",487484535,24.0705,23.807,24.334,55726873084,150.639,0,0,0
1964,"ITA","Italy",51675350,12.9913333333333,12.7584166666667,13.22425,63175417019,175.7211,NA,NA,NA
1964,"JPN","Japan",97826000,12.34975,12.1534166666667,12.5460833333333,81749006382,358.8911,758,0,0
1964,"MEX","Mexico",43264272,20.5863333333333,20.3659166666667,20.80675,2.008e+10,74.2001,45,4000,3000
1964,"NGA","Nigeria",49066059,26.6306666666667,26.37575,26.8855833333333,5552822484,7.2667,NA,NA,NA
1964,"PAK","Pakistan",49551904,20.1418333333333,19.8761666666667,20.4075,5130407728,16.039,0,474427,4600
1964,"RUS","Russian Federation",125345000,-5.78583333333333,-6.01616666666667,-5.5555,NA,1098.7224,NA,NA,NA
1965,"AUS","Australia",11388000,22.0920833333333,21.8440833333333,22.3400833333333,25931235301,120.8527,NA,NA,NA
1965,"BGD","Bangladesh",55834038,25.0385,24.7498333333333,25.3271666666667,5906636557,3.1213,48921,15660000,57700
1965,"BRA","Brazil",83498020,24.9838333333333,24.6868333333333,25.2808333333333,21790035117,56.3296,22,270000,17000
1965,"CAN","Canada",19678000,-5.51666666666667,-5.785,-5.24833333333333,53909570342,251.917,26,22,0
1965,"CHN","China",715185000,6.79991666666667,6.56,7.03983333333333,70436266147,474.6806,0,0,27118
1965,"DEU","Germany",75963695,7.633,7.39891666666667,7.86708333333333,NA,960.1022,NA,NA,NA
1965,"ESP","Spain",31954292,13.6549166666667,13.3884166666667,13.9214166666667,24756958695,71.0205,30,0,0
1965,"FRA","France",50023774,12.5018333333333,12.2029166666667,12.80075,1.02e+11,352.1116,NA,NA,NA
1965,"GBR","United Kingdom",54348050,8.1545,7.87391666666667,8.43508333333333,1.01e+11,622.1116,NA,NA,NA
1965,"IDN","Indonesia",100308894,25.70175,25.4276666666667,25.9758333333333,NA,24.6682,111,0,0
1965,"IND","India",497702365,24.0909166666667,23.7985833333333,24.38325,58760424670,165.9614,1500560,0,0
1965,"ITA","Italy",52112350,12.4555833333333,12.1720833333333,12.7390833333333,67978153851,189.5284,92,0,0
1965,"JPN","Japan",98883000,11.6879166666667,11.4448333333333,11.931,90950278258,386.4712,289,3030770,0
1965,"MEX","Mexico",44623043,20.7345,20.47275,20.99625,2.184e+10,75.1679,27,0,8000
1965,"NGA","Nigeria",50127214,26.667,26.3540833333333,26.9799166666667,5874422512,11.7501,NA,NA,NA
1965,"PAK","Pakistan",50845221,20.4951666666667,20.1913333333333,20.799,5884712096,16.8296,10000,0,0
1965,"RUS","Russian Federation",126745000,-5.90741666666667,-6.18108333333333,-5.63375,NA,1165.5583,NA,NA,NA
1966,"AUS","Australia",11651000,21.361,21.1748333333333,21.5471666666667,27261731437,120.2193,NA,NA,NA
1966,"BGD","Bangladesh",57672990,25.4843333333333,25.2035833333333,25.7650833333333,6439687598,3.1763,889,2300000,23400
1966,"BRA","Brazil",85837799,25.0864166666667,24.8484166666667,25.3244166666667,27062716578,64.2116,946,0,0
1966,"CAN","Canada",20048000,-5.14133333333333,-5.37891666666667,-4.90375,60358632035,259.0744,0,0,0
1966,"CHN","China",735400000,6.962,6.778,7.146,76720285970,521.4589,0,0,0
1966,"DEU","Germany",76600311,8.64566666666667,8.41333333333333,8.878,NA,951.422,NA,NA,NA
1966,"ESP","Spain",32283194,13.9699166666667,13.723,14.2168333333333,28721062242,77.617,NA,NA,NA
1966,"FRA","France",50508717,13.2151666666667,12.9170833333333,13.51325,1.11e+11,347.6048,114,0,0
1966,"GBR","United Kingdom",54648500,8.55991666666667,8.30625,8.81358333333333,1.07e+11,618.0747,140,0,0
1966,"IDN","Indonesia",103067354,25.9439166666667,25.7295833333333,26.15825,NA,23.375,9264,775160,0
1966,"IND","India",508161935,24.4385833333333,24.177,24.7001666666667,45253641303,171.6884,65,1050000,5600
1966,"ITA","Italy",52519000,13.0405833333333,12.7904166666667,13.29075,73654870011,213.9823,70,1300000,2e+06
1966,"JPN","Japan",99790000,12.1344166666667,11.9451666666667,12.3236666666667,1.06e+11,419.2451,0,0,0
1966,"MEX","Mexico",46011038,20.3896666666667,20.1719166666667,20.6074166666667,2.432e+10,80.8446,14,90069,24000
