Year,Country,Population,AverageTemperature,Country.Name,GDP,Emissions,TotalDeaths,TotalAffected,TotalDamage,MeanTemperature,anamoly
1963,ESP,31296651,13.39525,Spain,19074913948,1.879509312,0,0,0,14.113213836478,0.71796383647799
1963,FRA,48803680,12.0728333333333,France,85551113767,6.844149785,0,0,0,13.3241273584906,1.25129402515727
1963,GBR,53650000,7.79075,United Kingdom,85443766670,11.25485346,0,0,0,8.96133173076923,1.17058173076923
1963,IND,477527970,24.09575,India,47776000900,0.32266942,512,5000000,0,24.3524496855346,0.256699685534592
1963,ITA,51252000,12.6045833333333,Italy,57710743060,3.215100133,1917,0,0,13.2578726415094,0.653289308176127
1963,JPN,96812000,12.29325,Japan,69498131797,3.359320776,295,120,0,12.4686210691824,0.175371069182392
1963,KOR,27261747,11.489,"Korea, Rep.",3988246109,0.774109781,116,0,0,12.4023286163522,0.913328616352199
1963,MEX,41939880,20.8794166666667,Mexico,16960000000,1.58230541,0,0,0,20.9283667695473,0.048950102880621
1963,NGA,48032246,27.0770833333333,Nigeria,5165489010,0.111386692,0,0,0,27.0908977987421,0.013814465408846
1963,PAK,48309315,21.2510833333333,Pakistan,4540529105,0.383252857,0,0,0,21.0765581761006,-0.174525157232672
1963,USA,189242000,9.08,United States,639000000000,16.48276215,442,0,0,9.175704218107,0.095704218106995
1964,AUS,11167000,21.65075,Australia,23758539590,9.759073431,0,0,0,22.0145471698113,0.36379716981132
1964,BRA,81168654,24.7340833333333,Brazil,21211892260,0.698986877,100,120000,500,25.2288349056604,0.494751572327079
1964,CAN,19325000,-5.457,Canada,48882938810,12.3053704,0,0,0,-4.37132716049383,1.08567283950617
1964,CHN,698355000,6.74608333333333,China,59708343489,0.625646054,686,0,0,7.13916981132075,0.393086477987424
1964,ESP,31609195,14.06475,Spain,21343844644,2.037725257,0,0,0,14.113213836478,0.048463836477991
1964,FRA,49449403,12.9904166666667,France,94906593388,6.982957004,0,0,0,13.3241273584906,0.333710691823871
1964,IND,487484535,24.0705,India,55726873084,0.309030714,732,1436610,500,24.3524496855346,0.281949685534592
1964,ITA,51675350,12.9913333333333,Italy,63175417019,3.405053435,0,0,0,13.2578726415094,0.266539308176128
1964,JPN,97826000,12.34975,Japan,81749006382,3.673035072,758,35376,800000,12.4686210691824,0.118871069182392
1964,KOR,27984155,12.5881666666667,"Korea, Rep.",3458518494,0.793961905,210,86830,1000,12.4023286163522,-0.1858380503145
1964,MEX,43264272,20.5863333333333,Mexico,20080000000,1.716861248,45,4000,3000,20.9283667695473,0.34203343621402
1964,NGA,49066059,26.6306666666667,Nigeria,5552822484,0.148276184,0,0,0,27.0908977987421,0.460231132075446
1964,PAK,49551904,20.1418333333333,Pakistan,5130407728,0.384150668,450,474427,4600,21.0765581761006,0.934724842767327
1964,USA,191889000,8.49166666666667,United States,686000000000,16.96811858,450,0,2090000,9.175704218107,0.684037551440325
1965,AUS,11388000,22.0920833333333,Australia,25931235301,10.62232139,0,0,0,22.0145471698113,-0.07753616352198
1965,BRA,83498020,24.9838333333333,Brazil,21790035117,0.675446675,22,270000,17000,25.2288349056604,0.245001572327077
1965,CAN,19678000,-5.51666666666667,Canada,53909570342,12.81400147,26,22,0,-4.37132716049383,1.14533950617284
1965,CHN,715185000,6.79991666666667,China,70436266147,0.665524211,0,0,27118,7.13916981132075,0.339253144654085
1965,ESP,31954292,13.6549166666667,Spain,24756958695,2.225610193,30,0,0,14.113213836478,0.45829716981129
1965,FRA,50023774,12.5018333333333,France,102000000000,7.033701955,0,0,0,13.3241273584906,0.822294025157271
1965,GBR,54348050,8.1545,United Kingdom,101000000000,11.45615951,0,0,0,8.96133173076923,0.806831730769231
1965,IND,497702365,24.0909166666667,India,58760424670,0.333476589,1500560,100000000,100000,24.3524496855346,0.26153301886789
1965,ITA,52112350,12.4555833333333,Italy,67978153851,3.641502446,92,0,0,13.2578726415094,0.802289308176128
1965,JPN,98883000,11.6879166666667,Japan,90950278258,3.912905535,289,3030770,90000,12.4686210691824,0.780704402515692
1965,KOR,28704674,11.7528333333333,"Korea, Rep.",3120307808,0.871121999,323,344459,36500,12.4023286163522,0.649495283018901
1965,MEX,44623043,20.7345,Mexico,21840000000,1.686277648,27,0,8000,20.9283667695473,0.19386676954732
1965,NGA,50127214,26.667,Nigeria,5874422512,0.234677634,0,0,0,27.0908977987421,0.423897798742143
1965,PAK,50845221,20.4951666666667,Pakistan,5884712096,0.39284221,10000,0,0,21.0765581761006,0.581391509433924
1965,USA,194303000,8.64766666666667,United States,744000000000,17.45172525,577,1000,1638000,9.175704218107,0.528037551440326
1966,AUS,11651000,21.361,Australia,27261731437,10.32809244,0,0,0,22.0145471698113,0.653547169811318
1966,BRA,85837799,25.0864166666667,Brazil,27062716578,0.749139805,946,4208138,60941,25.2288349056604,0.142418238993677
1966,CAN,20048000,-5.14133333333333,Canada,60358632035,12.93491815,0,0,0,-4.37132716049383,0.770006172839503
1966,CHN,735400000,6.962,China,76720285970,0.710891382,0,0,0,7.13916981132075,0.177169811320755
1966,ESP,32283194,13.9699166666667,Spain,28721062242,2.407735709,0,0,0,14.113213836478,0.143297169811291
1966,FRA,50508717,13.2151666666667,France,111000000000,6.874765083,114,0,0,13.3241273584906,0.108960691823871
1966,GBR,54648500,8.55991666666667,United Kingdom,107000000000,11.31896078,140,0,0,8.96133173076923,0.401415064102562
1966,IND,508161935,24.4385833333333,India,45253641303,0.338014194,65,1050000,5600,24.3524496855346,-0.086133647798707
1966,ITA,52519000,13.0405833333333,Italy,73654870011,4.079440621,70,1300000,2000000,13.2578726415094,0.217289308176127
1966,JPN,99790000,12.1344166666667,Japan,106000000000,4.206264706,422,16253,13900,12.4686210691824,0.334204402515692
1966,KOR,29435571,12.02425,"Korea, Rep.",3928171298,1.0196641,117,200044,1977,12.4023286163522,0.3780786163522
1966,MEX,46011038,20.3896666666667,Mexico,24320000000,1.758940757,14,90069,24000,20.9283667695473,0.538700102880622
1966,NGA,51217359,26.7785833333333,Nigeria,6366792664,0.252020804,0,0,0,27.0908977987421,0.312314465408843
1966,PAK,52191095,20.5645833333333,Pakistan,6466610752,0.38945688,0,0,0,21.0765581761006,0.511974842767327
1966,USA,196560000,8.483,United States,815000000000,18.12107301,552,0,100000,9.175704218107,0.692704218106995
1967,AUS,11799000,21.6254166666667,Australia,30389741292,10.9556248,662,3100,668500,22.0145471698113,0.389130503144621
1967,BRA,88191378,25.0136666666667,Brazil,30591834054,0.750561092,1256,189543,15300,25.2288349056604,0.215168238993677
1967,CAN,20412000,-5.28208333333333,Canada,64768831262,13.8103546,0,0,0,-4.37132716049383,0.910756172839503
1967,CHN,754550000,6.40258333333333,China,72881631327,0.574162147,0,0,0,7.13916981132075,0.736586477987425
1967,ESP,32682947,13.6979166666667,Spain,31647119228,2.647227559,0,0,0,14.113213836478,0.415297169811291
1967,FRA,50915456,13.0875,France,119000000000,7.30642216,93,0,20000,13.3241273584906,0.236627358490571
1967,GBR,54943600,8.83316666666667,United Kingdom,111000000000,10.78410455,50,78,36400,8.96133173076923,0.128165064102561
1967,IDN,105907403,25.8350833333333,Indonesia,5667756645,0.231915478,485,212511,0,26.1597699275362,0.324686594202927
1967,IND,518889779,23.9920833333333,India,49466168891,0.331937527,4606,1065848,400,24.3524496855346,0.360366352201289
1967,ITA,52900500,13.13725,Italy,81133120065,4.431482557,0,0,0,13.2578726415094,0.120622641509428
1967,JPN,100725000,12.2663333333333,Japan,124000000000,4.863557846,779,3235,20000,12.4686210691824,0.202287735849092
1967,KOR,30130983,12.04625,"Korea, Rep.",4854576371,1.166635088,0,2800000,0,12.4023286163522,0.3560786163522
1967,MEX,47429812,20.6833333333333,Mexico,26560000000,1.899688259,111,279345,184500,20.9283667695473,0.245033436214019
