"Year","Country","CountryName","Population","AverageTemperature","MinTemperature","MaxTemperature","GDP","Emissions","TotalDeaths","TotalAffected","TotalDamage","Meantemperature","AN_Temp","MeanGDP","AN_GDP","MeanCO2","AN_CO2","MeanPop","AN_POP"
1960,"AUS","Australia",10276477,21.2105,20.9885,21.4325,18573188487,88.1189,0,0,0,22.0145471698113,-0.804047169811319,325948349583.264,-307375161096.264,252.330479245283,-164.211579245283,16163360.8679245,-5886883.86792453
1960,"BGD","Bangladesh",48199747,25.48425,25.2119166666667,25.7565833333333,4274893913,2.2119,18149,0,0,25.2825047169811,0.20174528301887,35173952142.434,-30899058229.434,18.1819452830189,-15.9700452830189,98939874.2075472,-50740127.2075472
1960,"BRA","Brazil",72207554,24.7526666666667,24.402,25.1033333333333,15165569913,46.8518,0,0,0,25.2288349056604,-0.476168238993679,521522482591.453,-506356912678.453,210.8392,-163.9874,137590674.283019,-65383120.2830189
1960,"CAN","Canada",17909009,-4.40683333333333,-4.66458333333333,-4.14908333333333,41093453545,192.7162,0,0,0,-4.42284905660377,0.0160157232704439,536023245573.283,-494929792028.283,434.324711320755,-241.608511320755,26407064.9245283,-8498055.9245283
1960,"CHN","China",667070000,6.89091666666667,6.66,7.12183333333333,59716467625,778.9795,0,0,0,7.13916981132075,-0.248253144654084,1126497969732.26,-1066781502107.26,2772.71707735849,-1993.73757735849,1049505754.71698,-382435754.716981
1960,"ESP","Spain",30455000,13.7815,13.49,14.073,12072126075,48.8656,0,0,0,14.113213836478,-0.331713836477991,469677077826.283,-457604951751.283,212.399841509434,-163.534241509434,38244689.8867925,-7789689.88679245
1960,"FRA","France",46814237,13.0276666666667,12.7135833333333,13.34175,62651474947,271.3608,0,0,0,13.3241273584906,-0.296460691823871,1039297541619.96,-976646066672.962,413.222511320755,-141.861711320755,56972193.1698113,-10157956.1698113
1960,"GBR","United Kingdom",52400000,8.91975,8.65175,9.18775,72328047042,584.02,0,0,0,8.95600786163522,-0.0362578616352192,1009819919109.38,-937491872067.377,581.313479245283,2.70652075471696,57367943.0566038,-4967943.05660377
1960,"IND","India",449480608,24.2871666666667,24.0303333333333,24.544,36535925031,120.576,237,160000,0,24.3524496855346,-0.0652830188678912,392229380574.585,-355693455543.585,646.297066037736,-525.721066037736,819442916.415094,-369962308.415094
1960,"ITA","Italy",50199700,13.0728333333333,12.7981666666667,13.3475,40385288344,109.2031,12,0,0,13.2578726415094,-0.185039308176128,846797953943.906,-806412665599.906,368.582560377359,-259.379460377358,55873572.2641509,-5673872.26415094
1960,"JPN","Japan",92500572,12.5998333333333,12.38325,12.8164166666667,44307342950,232.4996,179,0,0,12.4686210691824,0.131212264150909,2503051630109.62,-2458744287159.62,954.133667924528,-721.634067924528,116985539.09434,-24484967.0943396
1960,"KOR","Korea, Rep.",25012374,12.7395,12.496,12.983,3957873926,12.5401,0,0,0,12.4023286163522,0.337171383647799,329683145982.868,-325725272056.868,240.390535849057,-227.850435849057,39940599.3207547,-14928225.3207547
1960,"MEX","Mexico",38174112,20.7465833333333,20.5166666666667,20.9765,1.304e+10,63.0523,0,0,0,20.9040110062893,-0.157427672956004,362793210062.604,-349753210062.604,280.936077358491,-217.883777358491,78762835.7735849,-40588723.7735849
1960,"NGA","Nigeria",45137812,26.8174166666667,26.5474166666667,27.0874166666667,4196092258,3.4032,0,0,0,27.0908977987421,-0.273481132075446,62434227185.3962,-58238134927.3962,53.0782735849057,-49.6750735849057,92269841.0754717,-47132029.0754717
1960,"PAK","Pakistan",44908293,20.7313333333333,20.4066666666667,21.056,3707055901,11.9264,0,0,0,21.0765581761006,-0.345224842767326,52806213638.1321,-49099157737.1321,65.4592396226415,-53.5328396226415,100721180.056604,-55812887.0566038
1960,"USA","United States",180671000,8.69225,8.512,8.8725,5.43e+11,2887.8204,111,0,0,9.13567767295597,-0.443427672955975,5950754716981.13,-5407754716981.13,4835.25654716981,-1947.43614716981,244696395.773585,-64025395.7735849
1961,"AUS","Australia",10483000,21.96425,21.7455833333333,22.1829166666667,19648336880,90.5039,0,0,0,22.0145471698113,-0.0502971698113193,325948349583.264,-306300012703.264,252.330479245283,-161.826579245283,16163360.8679245,-5680360.86792453
1961,"BGD","Bangladesh",49592802,25.06975,24.83825,25.30125,4817580184,2.2904,11266,0,11900,25.2825047169811,-0.212754716981131,35173952142.434,-30356371958.434,18.1819452830189,-15.8915452830189,98939874.2075472,-49347072.2075472
1961,"BRA","Brazil",74351763,25.1464166666667,24.8879166666667,25.4049166666667,15236854859,49.1445,323,1900,0,25.2288349056604,-0.0824182389936787,521522482591.453,-506285627732.453,210.8392,-161.6947,137590674.283019,-63238911.2830189
1961,"CAN","Canada",18271000,-5.06816666666667,-5.31316666666667,-4.82316666666667,40767969454,194.0007,0,0,0,-4.42284905660377,-0.645317610062897,536023245573.283,-495255276119.283,434.324711320755,-240.324011320755,26407064.9245283,-8136064.9245283
1961,"CHN","China",660330000,7.05058333333333,6.83858333333333,7.26258333333333,50056868958,550.9585,0,0,0,7.13916981132075,-0.0885864779874241,1126497969732.26,-1076441100774.26,2772.71707735849,-2221.75857735849,1049505754.71698,-389175754.716981
1961,"ESP","Spain",30739250,14.6360833333333,14.4155833333333,14.8565833333333,13834300571,53.6069,0,0,0,14.113213836478,0.522869496855309,469677077826.283,-455842777255.283,212.399841509434,-158.792941509434,38244689.8867925,-7505439.88679245
