Country,Year,AverageTemperature,MinTemperature,MaxTemperature
HRV,1909,10.8250833333333,10.4320833333333,11.2180833333333
HRV,1910,11.5045,11.10625,11.90275
HRV,1911,11.5739166666667,11.1746666666667,11.9731666666667
HRV,1912,10.6545,10.2009166666667,11.1080833333333
HRV,1913,11.0728333333333,10.6976666666667,11.448
HRV,1914,10.5543333333333,10.1335,10.9751666666667
HRV,1915,11.1208333333333,10.7375833333333,11.5040833333333
HRV,1916,12.0626666666667,11.59575,12.5295833333333
HRV,1917,10.9430833333333,10.45075,11.4354166666667
HRV,1918,11.2816666666667,10.8694166666667,11.6939166666667
HRV,1919,10.78,10.3235,11.2365
HRV,1920,11.81575,11.365,12.2665
HRV,1921,11.6345833333333,11.2331666666667,12.036
HRV,1922,10.8471666666667,10.4043333333333,11.29
HRV,1923,11.8991666666667,11.5676666666667,12.2306666666667
HRV,1924,10.892,10.5394166666667,11.2445833333333
HRV,1925,11.3325,10.953,11.712
HRV,1926,12.0051666666667,11.5765,12.4338333333333
HRV,1927,12.0788333333333,11.6466666666667,12.511
HRV,1928,11.7716666666667,11.447,12.0963333333333
HRV,1929,10.6526666666667,10.12675,11.1785833333333
HRV,1930,12.143,11.77125,12.51475
HRV,1931,11.1359166666667,10.7285833333333,11.54325
HRV,1932,11.0819166666667,10.5529166666667,11.6109166666667
HRV,1933,10.5215833333333,10.06,10.9831666666667
HRV,1934,12.3545833333333,11.9371666666667,12.772
HRV,1935,11.3815,11.01325,11.74975
HRV,1936,11.90375,11.5116666666667,12.2958333333333
HRV,1937,11.8489166666667,11.5193333333333,12.1785
HRV,1938,11.3211666666667,10.9299166666667,11.7124166666667
HRV,1939,11.6481666666667,11.2631666666667,12.0331666666667
HRV,1940,9.79966666666667,9.34591666666667,10.2534166666667
HRV,1941,10.4496666666667,10.1253333333333,10.774
HRV,1942,10.8704166666667,10.5145,11.2263333333333
HRV,1943,12.0669166666667,11.7625,12.3713333333333
HRV,1944,11.1699166666667,10.8001666666667,11.5396666666667
HRV,1945,11.88325,11.5060833333333,12.2604166666667
HRV,1946,12.1240833333333,11.77225,12.4759166666667
HRV,1947,11.9413333333333,11.4865833333333,12.3960833333333
HRV,1948,11.7764166666667,11.4615833333333,12.09125
HRV,1949,11.8085833333333,11.4859166666667,12.13125
HRV,1950,12.4300833333333,12.06525,12.7949166666667
HRV,1951,12.481,12.1449166666667,12.8170833333333
HRV,1952,11.8875833333333,11.6301666666667,12.145
HRV,1953,11.6151666666667,11.33825,11.8920833333333
HRV,1954,10.8233333333333,10.53275,11.1139166666667
HRV,1955,11.3078333333333,11.0275833333333,11.5880833333333
HRV,1956,10.4193333333333,10.1131666666667,10.7255
HRV,1957,11.6975833333333,11.2080833333333,12.1870833333333
HRV,1958,11.91675,11.59425,12.23925
HRV,1959,11.657,11.3474166666667,11.9665833333333
HRV,1960,11.843,11.494,12.192
HRV,1961,12.1916666666667,11.9038333333333,12.4795
HRV,1962,10.8380833333333,10.5240833333333,11.1520833333333
HRV,1963,11.05025,10.7574166666667,11.3430833333333
HRV,1964,11.0724166666667,10.7480833333333,11.39675
HRV,1965,10.9230833333333,10.6025833333333,11.2435833333333
HRV,1966,11.9521666666667,11.6645833333333,12.23975
HRV,1967,11.7379166666667,11.4720833333333,12.00375
HRV,1968,11.5773333333333,11.2803333333333,11.8743333333333
HRV,1969,11.0950833333333,10.7805,11.4096666666667
HRV,1970,11.3106666666667,11.0456666666667,11.5756666666667
HRV,1971,11.3933333333333,11.1365833333333,11.6500833333333
HRV,1972,11.4941666666667,11.1859166666667,11.8024166666667
HRV,1973,11.2483333333333,10.9881666666667,11.5085
HRV,1974,11.7451666666667,11.46825,12.0220833333333
HRV,1975,11.9485833333333,11.6574166666667,12.23975
HRV,1976,11.0415833333333,10.7544166666667,11.32875
HRV,1977,11.9264166666667,11.6849166666667,12.1679166666667
HRV,1978,10.7666666666667,10.5278333333333,11.0055
HRV,1979,11.7776666666667,11.554,12.0013333333333
HRV,1980,10.68525,10.4314166666667,10.9390833333333
HRV,1981,11.5085,11.2366666666667,11.7803333333333
HRV,1982,11.9219166666667,11.6641666666667,12.1796666666667
HRV,1983,11.9348333333333,11.6780833333333,12.1915833333333
HRV,1984,11.194,10.9516666666667,11.4363333333333
HRV,1985,11.1518333333333,10.89525,11.4084166666667
HRV,1986,11.404,11.1916666666667,11.6163333333333
HRV,1987,11.3986666666667,11.1715,11.6258333333333
HRV,1988,11.9899166666667,11.7618333333333,12.218
HRV,1989,12.0960833333333,11.8369166666667,12.35525
HRV,1990,12.4344166666667,12.14475,12.7240833333333
HRV,1991,11.33325,11.0951666666667,11.5713333333333
HRV,1992,12.5490833333333,12.2571666666667,12.841
HRV,1993,11.9315833333333,11.6625833333333,12.2005833333333
HRV,1994,13.11,12.8556666666667,13.3643333333333
HRV,1995,11.88175,11.6551666666667,12.1083333333333
HRV,1996,11.12575,10.8803333333333,11.3711666666667
HRV,1997,11.8274166666667,11.5286666666667,12.1261666666667
HRV,1998,12.1009166666667,11.8253333333333,12.3765
HRV,1999,12.3165,12.0800833333333,12.5529166666667
HRV,2000,13.2264166666667,12.96475,13.4880833333333
HRV,2001,12.411,12.2211666666667,12.6008333333333
HRV,2002,12.8989166666667,12.67175,13.1260833333333
HRV,2003,12.567,12.3069166666667,12.8270833333333
HRV,2004,11.9194166666667,11.6493333333333,12.1895
HRV,2005,11.37625,11.1670833333333,11.5854166666667
HRV,2006,12.2416666666667,11.9795,12.5038333333333
HRV,2007,13.0665,12.83275,13.30025
HRV,2008,12.9770833333333,12.7223333333333,13.2318333333333
HRV,2009,12.8750833333333,12.59625,13.1539166666667
HRV,2010,11.9608333333333,11.7130833333333,12.2085833333333
HRV,2011,12.7551666666667,12.4796666666667,13.0306666666667
HRV,2012,12.9735,12.6545833333333,13.2924166666667
HRV,2013,,,
CUB,1900,25.344,24.8029166666667,25.8850833333333
CUB,1901,24.7556666666667,24.1368333333333,25.3745
CUB,1902,25.152,24.5635833333333,25.7404166666667
CUB,1903,25.17825,24.5605,25.796
CUB,1904,24.9223333333333,24.3660833333333,25.4785833333333
CUB,1905,25.3344166666667,24.8025833333333,25.86625
CUB,1906,25.0248333333333,24.43825,25.6114166666667
CUB,1907,25.2368333333333,24.7473333333333,25.7263333333333
CUB,1908,25.2269166666667,24.734,25.7198333333333
CUB,1909,24.9978333333333,24.5525833333333,25.4430833333333
CUB,1910,24.5558333333333,24.0570833333333,25.0545833333333
CUB,1911,25.4043333333333,24.92625,25.8824166666667
CUB,1912,25.52275,25.0973333333333,25.9481666666667
CUB,1913,25.12425,24.6564166666667,25.5920833333333
CUB,1914,25.2206666666667,24.81675,25.6245833333333
CUB,1915,25.3334166666667,24.9721666666667,25.6946666666667
CUB,1916,25.034,24.5786666666667,25.4893333333333
CUB,1917,24.7755,24.3336666666667,25.2173333333333
CUB,1918,25.1550833333333,24.7794166666667,25.53075
CUB,1919,25.4100833333333,25.0751666666667,25.745
CUB,1920,25.2684166666667,24.7925,25.7443333333333
CUB,1921,25.43275,24.9959166666667,25.8695833333333
CUB,1922,25.351,24.7928333333333,25.9091666666667
CUB,1923,25.35975,24.893,25.8265
CUB,1924,25.6576666666667,25.3020833333333,26.01325
CUB,1925,25.59825,25.2530833333333,25.9434166666667
CUB,1926,25.5295833333333,25.1454166666667,25.91375
CUB,1927,25.558,25.195,25.921
CUB,1928,25.3635833333333,24.9890833333333,25.7380833333333
CUB,1929,25.5740833333333,25.2644166666667,25.88375
CUB,1930,25.4785,25.1576666666667,25.7993333333333
CUB,1931,25.3729166666667,25.0719166666667,25.6739166666667
CUB,1932,25.5971666666667,25.2445,25.9498333333333
CUB,1933,25.5129166666667,25.1961666666667,25.8296666666667
CUB,1934,25.2560833333333,24.9683333333333,25.5438333333333
CUB,1935,25.2306666666667,24.921,25.5403333333333
CUB,1936,25.4725833333333,25.1114166666667,25.83375
CUB,1937,25.64725,25.32475,25.96975
CUB,1938,25.451,25.1395833333333,25.7624166666667
CUB,1939,25.4946666666667,25.1515,25.8378333333333
CUB,1940,25.2861666666667,24.9323333333333,25.64
CUB,1941,25.7555,25.3794166666667,26.1315833333333
CUB,1942,25.7341666666667,25.2663333333333,26.202
CUB,1943,25.3680833333333,25.056,25.6801666666667
CUB,1944,25.48675,25.137,25.8365
CUB,1945,25.4821666666667,25.1974166666667,25.7669166666667
CUB,1946,25.8566666666667,25.4725833333333,26.24075
CUB,1947,25.851,25.5088333333333,26.1931666666667
CUB,1948,26.1875,25.8123333333333,26.5626666666667
CUB,1949,25.6818333333333,25.28425,26.0794166666667
CUB,1950,25.144,24.78725,25.50075
CUB,1951,25.3904166666667,25.0736666666667,25.7071666666667
CUB,1952,25.472,25.2384166666667,25.7055833333333
CUB,1953,25.8353333333333,25.6636666666667,26.007
CUB,1954,25.4244166666667,25.1671666666667,25.6816666666667
CUB,1955,25.3385833333333,25.1111666666667,25.566
CUB,1956,25.3244166666667,25.0760833333333,25.57275
CUB,1957,25.707,25.2950833333333,26.1189166666667
CUB,1958,25.58,25.2438333333333,25.9161666666667
CUB,1959,25.9259166666667,25.6095,26.2423333333333
CUB,1960,25.5338333333333,25.2416666666667,25.826
CUB,1961,25.7078333333333,25.3964166666667,26.01925
CUB,1962,25.4346666666667,25.0531666666667,25.8161666666667
CUB,1963,25.4945833333333,25.1993333333333,25.7898333333333
CUB,1964,25.8031666666667,25.5213333333333,26.085
CUB,1965,25.5625,25.18825,25.93675
CUB,1966,25.2650833333333,24.8884166666667,25.64175
CUB,1967,25.5785833333333,25.2805,25.8766666666667
CUB,1968,25.2375833333333,24.9504166666667,25.52475
CUB,1969,25.6578333333333,25.3428333333333,25.9728333333333
CUB,1970,25.4121666666667,25.1140833333333,25.71025
CUB,1971,25.4796666666667,25.195,25.7643333333333
CUB,1972,25.7713333333333,25.5155833333333,26.0270833333333
CUB,1973,25.68425,25.4006666666667,25.9678333333333
CUB,1974,25.54975,25.3045,25.795
CUB,1975,25.89075,25.6011666666667,26.1803333333333
CUB,1976,25.5025833333333,25.1571666666667,25.848
CUB,1977,25.6569166666667,25.4328333333333,25.881
CUB,1978,25.6268333333333,25.40225,25.8514166666667
CUB,1979,25.67825,25.473,25.8835
CUB,1980,25.8481666666667,25.6135833333333,26.08275
CUB,1981,25.4865,25.238,25.735
CUB,1982,26.08175,25.7971666666667,26.3663333333333
CUB,1983,25.8663333333333,25.6000833333333,26.1325833333333
CUB,1984,25.6325833333333,25.3544166666667,25.91075
CUB,1985,25.6718333333333,25.3459166666667,25.99775
CUB,1986,25.8725833333333,25.5786666666667,26.1665
CUB,1987,25.92475,25.6570833333333,26.1924166666667
CUB,1988,25.82475,25.5053333333333,26.1441666666667
CUB,1989,25.9034166666667,25.6066666666667,26.2001666666667
CUB,1990,26.1334166666667,25.8489166666667,26.4179166666667
CUB,1991,26.1658333333333,25.8426666666667,26.489
CUB,1992,25.8595833333333,25.4975,26.2216666666667
